trials.thisTrialN,key_resp.corr
0,1
1,1
2,0
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,0
13,0
14,1
15,1
16,1
17,1
18,1
19,0
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,0
28,1
29,1
30,1
31,0
32,1
33,0
34,1
35,0
36,0
37,0
38,1
39,1
40,0
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,0
49,1
50,1
51,1
52,1
53,1
54,0
55,0
56,0
57,0
58,0
59,1
60,0
61,0
62,0
63,0
64,0
65,1
66,1
67,1
68,0
69,1
70,1
71,0
72,1
73,1
74,1
75,0
76,1
77,0
78,0
79,0
80,0
81,0
82,1
83,1
84,1
85,0
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,0
94,0
95,0
96,1
97,0
98,1
99,1
