mouse.time,mouse.clicked_name,no_Distractor,,,,,,
1.7341884,Target',5,,,,,,
2.2187971,Target',5,,,,,,
1.8096715,Target',5,,,,,,
2.3342657,Target',5,,,5,1.964821411,1.964821,
1.8486622,Target',5,,,10,2.382911398,2.382911,
2.8000687,Target',5,,,,,,
2.4193599,Target',5,,,,slope,0.083617997,0.083618
1.5852014,Target',5,,,,,,
1.9379903,Target',5,,,,,,
2.1216831,Target',5,,,,,,
1.6679837,Target',5,,,,,,
1.4040396,Target',5,,,,,,
1.867979,Target',5,,,,,,
2.3968521,Target',5,,,,,,
2.8321951,Target',5,,,,,,
1.9627348,Target',5,,,,,,
1.4657445,Target',5,,,,,,
1.3451426,Target',5,,,,,,
1.2905827,Target',5,,,,,,
2.0786382,Target',5,,,,,,
1.8971335,Target',5,,,,,,
1.4484376,Target',5,,,,,,
2.063116,Target',5,,,,,,
1.9812314,Target',5,,,,,,
1.2051801,Target',5,,,,,,
1.4118925,Target',5,,,,,,
1.7590526,Target',5,,,,,,
1.5224743,Target',5,,,,,,
1.2322475,Target',5,,,,,,
2.0777347,Target',5,,,,,,
1.3297651,Target',5,,,,,,
1.5127993,Target',5,,,,,,
2.3727769,Target',5,,,,,,
1.6251195,Target',5,,,,,,
4.0322723,Target',5,,,,,,
2.5265213,Target',5,,,,,,
2.1850169,Target',5,,,,,,
1.2596864,Target',5,,,,,,
1.8722861,Target',5,,,,,,
1.6367652,Target',5,,,,,,
1.5381113,Target',5,,,,,,
2.7214473,Target',5,,,,,,
1.4676951,Target',5,,,,,,
1.6836463,Target',5,,,,,,
1.7306828,Target',5,,,,,,
2.8971086,Target',5,,,,,,
2.0459128,Target',5,,,,,,
1.4555576,Target',5,,,,,,
1.2802241,Target',5,,,,,,
2.3243887,Target',5,,,,,,
2.7769854,Target',5,,,,,,
1.3411179,Target',5,,,,,,
1.7346284,Target',5,,,,,,
2.2899775,Target',5,,,,,,
2.2794416,Target',5,,,,,,
2.1235776,Target',5,,,,,,
1.437614,Target',5,,,,,,
1.786734,Target',5,,,,,,
2.3191988,Target',5,,,,,,
2.1813114,Target',5,,,,,,
2.2990538,Target',5,,,,,,
3.1047236,Target',5,,,,,,
2.8913205,Target',5,,,,,,
1.4994883,Target',10,,,,,,
2.0326537,Target',10,,,,,,
1.1809405,Target',10,,,,,,
3.4842179,Target',10,,,,,,
2.1644146,Target',10,,,,,,
1.9529716,Target',10,,,,,,
