mouse.time,mouse.clicked_name,no_Distractor,,,,,
1.9210689,Target',5,,,,,
2.1429302,Target',5,,,,,
1.1990763,Target',5,,,,,
1.3787307,Target',5,,,,,
1.6116913,Target',5,,,,,
2.0463762,Target',5,,,5,1.827046633,1.827047
1.5168983,Target',5,,,10,2.140543189,2.140543
1.3943507,Target',5,,,,,
1.6403575,Target',5,,,,slope,0.062699311
1.204327,Target',5,,,,,
1.820324,Target',5,,,,,
1.4934141,Target',5,,,,,
1.8955022,Target',5,,,,,
1.9803348,Target',5,,,,,
1.7208583,Target',5,,,,,
1.7411842,Target',5,,,,,
1.8897685,Target',5,,,,,
1.6801143,Target',5,,,,,
1.4281406,Target',5,,,,,
1.9543062,Target',5,,,,,
1.3357711,Target',5,,,,,
1.4351127,Target',5,,,,,
1.291092,Target',5,,,,,
1.4333828,Target',5,,,,,
1.8153532,Target',5,,,,,
1.4759388,Target',5,,,,,
1.9324916,Target',5,,,,,
1.6634694,Target',5,,,,,
1.3319688,Target',5,,,,,
1.6289689,Target',5,,,,,
1.3542303,Target',5,,,,,
2.301034,Target',5,,,,,
2.0139435,Target',5,,,,,
1.6442186,Target',5,,,,,
2.4642869,Target',5,,,,,
1.781776,Target',5,,,,,
1.8467196,Target',5,,,,,
1.4690287,Target',5,,,,,
2.5522661,Target',5,,,,,
2.5171775,Target',5,,,,,
2.8874784,Target',5,,,,,
1.6461395,Target',5,,,,,
2.4057276,Target',5,,,,,
1.5035245,Target',5,,,,,
1.7067174,Target',5,,,,,
1.5857214,Target',5,,,,,
1.2685051,Target',5,,,,,
1.6313159,Target',5,,,,,
2.0965086,Target',5,,,,,
2.4184537,Target',5,,,,,
1.7062448,Target',5,,,,,
3.4320639,Target',5,,,,,
1.4418446,Target',5,,,,,
1.2432072,Target',5,,,,,
1.5758938,Target',5,,,,,
1.7233963,Target',5,,,,,
1.524493,Target',5,,,,,
1.240544,Target',5,,,,,
1.7950671,Target',5,,,,,
1.3722424,Target',5,,,,,
1.5857518,Target',5,,,,,
1.3637504,Target',5,,,,,
2.74973,Target',5,,,,,
2.7299079,Target',5,,,,,
1.6151776,Target',5,,,,,
1.8205145,Target',5,,,,,
2.076692,Target',5,,,,,
2.1997993,Target',5,,,,,
1.8624981,Target',5,,,,,
1.7791508,Target',5,,,,,
2.3784019,Target',5,,,,,
1.7023309,Target',5,,,,,
1.3334446,Target',5,,,,,
1.2009915,Target',5,,,,,
1.7476485,Target',5,,,,,
2.5186895,Target',5,,,,,
2.2011356,Target',5,,,,,
1.6484303,Target',5,,,,,
2.2293337,Target',5,,,,,
4.2145696,Target',5,,,,,
1.7711759,Target',5,,,,,
1.1360701,Target',5,,,,,
1.9843338,Target',5,,,,,
1.9636762,Target',5,,,,,
1.8384053,Target',5,,,,,
1.9987001,Target',5,,,,,
1.260374,Target',5,,,,,
1.3047218,Target',5,,,,,
1.780948,Target',5,,,,,
1.798014,Target',5,,,,,
1.6980032,Target',5,,,,,
2.5039428,Target',5,,,,,
2.4121573,Target',5,,,,,
2.522643,Target',5,,,,,
1.4852421,Target',5,,,,,
1.7590315,Target',10,,,,,
1.829947,Target',10,,,,,
2.3384309,Target',10,,,,,
1.5450254,Target',10,,,,,
1.8446719,Target',10,,,,,
1.4810645,Target',10,,,,,
2.5213584,Target',10,,,,,
1.6001709,Target',10,,,,,
1.4615644,Target',10,,,,,
1.2810188,Target',10,,,,,
2.3277676,Target',10,,,,,
3.3099765,Target',10,,,,,
1.3150548,Target',10,,,,,
2.7342358,Target',10,,,,,
1.46388,Target',10,,,,,
1.8979573,Target',10,,,,,
1.4524803,Target',10,,,,,
