mouse.time,mouse.clicked_name,no_Distractor,,,,
6.84827229A2:A73997608,Target',5,,,,
1.7544053,Target',5,,,,
2.7468597,Target',5,,,,
1.8734555,Target',5,,5,1.84802703,1.848027
1.6811548,Target',5,,10,2.273592468,2.273592
2.3102785,Target',5,,,,
2.8449674,Target',5,,,slope,0.085113088
1.3183457,Target',5,,,,
1.5281836,Target',5,,,,
2.7660106,Target',5,,,,
3.421346,Target',5,,,,
2.4286669,Target',5,,,,
2.1465071,Target',5,,,,
1.6548643,Target',5,,,,
2.3937811,Target',5,,,,
1.3089133,Target',5,,,,
1.6285761,Target',5,,,,
1.6672344,Target',5,,,,
1.5441385,Target',5,,,,
1.1325511,Target',5,,,,
2.2297011,Target',5,,,,
1.8332248,Target',5,,,,
2.1818661,Target',5,,,,
1.4194054,Target',5,,,,
0.8501639,Target',5,,,,
1.3819748,Target',5,,,,
1.2694699,Target',5,,,,
1.996643,Target',5,,,,
1.696635,Target',5,,,,
1.9140977,Target',5,,,,
2.9167438,Target',5,,,,
1.9579857,Target',5,,,,
2.546979,Target',5,,,,
1.4521338,Target',5,,,,
1.7422164,Target',5,,,,
1.8801195,Target',5,,,,
1.5360268,Target',5,,,,
2.678374,Target',5,,,,
1.8472423,Target',5,,,,
1.6151197,Target',5,,,,
2.6882887,Target',5,,,,
1.7137283,Target',5,,,,
1.1481847,Target',5,,,,
1.4617863,Target',5,,,,
1.2312815,Target',5,,,,
1.7193396,Target',5,,,,
1.6916105,Target',5,,,,
1.5312813,Target',5,,,,
1.7598908,Target',5,,,,
2.7145232,Target',5,,,,
2.213115,Target',5,,,,
3.7656277,Target',5,,,,
1.2203854,Target',5,,,,
1.2652554,Target',5,,,,
1.380837,Target',5,,,,
1.2121465,Target',5,,,,
1.7099545,Target',5,,,,
1.9832308,Target',5,,,,
2.3831447,Target',5,,,,
1.7474004,Target',5,,,,
1.7109393,Target',5,,,,
1.5055279,Target',5,,,,
1.4797644,Target',5,,,,
1.6769496,Target',5,,,,
1.0652096,Target',5,,,,
1.5102893,Target',5,,,,
1.6610061,Target',5,,,,
1.8008949,Target',5,,,,
1.8425074,Target',5,,,,
1.2091867,Target',5,,,,
1.9990074,Target',5,,,,
2.1112616,Target',5,,,,
2.4812005,Target',10,,,,
2.471151,Target',10,,,,
1.6707815,Target',10,,,,
3.5251829,Target',10,,,,
3.263871,Target',10,,,,
2.0052051,Target',10,,,,
2.1432172,Target',10,,,,
5.1717944,Target',10,,,,
2.1226111,Target',10,,,,
2.089348,Target',10,,,,
1.9881837,Target',10,,,,
1.8241322,Target',10,,,,
3.1957204,Target',10,,,,
2.3700809,Target',10,,,,
1.4788782,Target',10,,,,
1.8675027,Target',10,,,,
1.7945565,Target',10,,,,
1.9679867,Target',10,,,,
1.8794923,Target',10,,,,
1.976197,Target',10,,,,
2.3963896,Target',10,,,,
1.2309194,Target',10,,,,
2.3048161,Target',10,,,,
2.0356989,Target',10,,,,
3.9041026,Target',10,,,,
1.4154499,Target',10,,,,
3.1150896,Target',10,,,,
1.9539037,Target',10,,,,
4.6044908,Target',10,,,,
1.289395,Target',10,,,,
1.7563271,Target',10,,,,
3.3170189,Target',10,,,,
1.7603581,Target',10,,,,
2.3529212,Target',10,,,,
2.0361744,Target',10,,,,
1.7805568,Target',10,,,,
1.6757606,Target',10,,,,
1.6332346,Target',10,,,,
2.648105,Target',10,,,,
3.0136693,Target',10,,,,
2.270286,Target',10,,,,
2.7413135,Target',10,,,,
2.4281796,Target',10,,,,
3.2944466,Target',10,,,,
1.2332069,Target',10,,,,
3.7577353,Target',10,,,,
1.528274,Target',10,,,,
1.693182,Target',10,,,,
4.5609926,Target',10,,,,
3.8999763,Target',10,,,,
2.024865,Target',10,,,,
1.7245635,Target',10,,,,
2.2639517,Target',10,,,,
1.807121,Target',10,,,,
1.410071,Target',10,,,,
3.0995119,Target',10,,,,
1.5472665,Target',10,,,,
1.7196545,Target',10,,,,
4.4255773,Target',10,,,,
1.7394866,Target',10,,,,
2.308815,Target',10,,,,
2.4339434,Target',10,,,,
1.7371284,Target',10,,,,
1.495776,Target',10,,,,
1.7149006,Target',10,,,,
1.7800906,Target',10,,,,
2.6516235,Target',10,,,,
2.0818797,Target',10,,,,
2.0842444,Target',10,,,,
1.2735453,Target',10,,,,
2.3018306,Target',10,,,,
1.5655605,Target',10,,,,
2.2577763,Target',10,,,,
1.1492105,Target',10,,,,
1.8843698,Target',10,,,,
1.7279432,Target',10,,,,
4.8929532,Target',10,,,,
1.7529698,Target',10,,,,
1.804941,Target',10,,,,
1.7868809,Target',10,,,,
1.6652717,Target',10,,,,
1.4017913,Target',10,,,,
