word,colour,coungrency,,,,,,,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Intro.started,text.started,key_resp_2.started,text.stopped,Intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,Fixation.started,cc.started,key_resp.started,Fixation.stopped,cc.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,thankyou.started,text_2.started,thankyou.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,,0.003568,0.0346063,0.0346063,1.0361369,1.193871,space,1.1321746,None,,,,,,,,,,,,,,,Vishva,1,2025-08-22_10h07.58.597,Stroop_Task,,2025.2.0,60.42913144,2025-08-22 10h07.58.900622 +0530
RED,red,C,,,,,,,1.77963,None,0,0,0,0,1.2641855,,,,,,,,,,1.2490828,1.2641855,1.7038439,1.7038439,1.7711674,2.2025959,3.4898568,r,1,1.77963,None,,,,Vishva,1,2025-08-22_10h07.58.597,Stroop_Task,,2025.2.0,60.42913144,2025-08-22 10h07.58.900622 +0530
BLUE,red,C,,,,,,,0.2544861,None,0,1,1,2,3.5157299,,,,,,,,,,3.5091675,3.5157299,4.0025896,4.0025896,4.0197285,4.5027164,5.055836,b,0,1.0410403,None,,,,Vishva,1,2025-08-22_10h07.58.597,Stroop_Task,,2025.2.0,60.42913144,2025-08-22 10h07.58.900622 +0530
RED,blue,C,,,,,,,2.7995377,None,0,2,2,3,5.0709853,,,,,,,,,,5.0644583,5.0709853,5.5693824,5.5693824,5.5859489,,5.8906651,r,0,0.312392,None,,,,Vishva,1,2025-08-22_10h07.58.597,Stroop_Task,,2025.2.0,60.42913144,2025-08-22 10h07.58.900622 +0530
BLUE,blue,C,,,,,,,0.7328075,None,0,3,3,1,5.9120149,,,,,,,,,,5.9054324,5.9120149,6.404399,6.404399,6.4207099,,6.6728319,b,1,0.2544861,None,,,,Vishva,1,2025-08-22_10h07.58.597,Stroop_Task,,2025.2.0,60.42913144,2025-08-22 10h07.58.900622 +0530
BLUE,red,C,,,,,,,0.280136,None,1,0,4,2,6.6868125,,,,,,,,,,6.6746695,6.6868125,7.1863435,7.1863435,7.1863435,7.6876669,10.1913872,b,0,3.0005115,None,,,,Vishva,1,2025-08-22_10h07.58.597,Stroop_Task,,2025.2.0,60.42913144,2025-08-22 10h07.58.900622 +0530
RED,red,C,,,,,,,0.4845191,None,1,1,5,0,10.2098668,,,,,,,,,,10.2015604,10.2098668,10.7045106,10.7045106,10.7207657,11.2205042,13.5246554,r,1,2.7995377,None,,,,Vishva,1,2025-08-22_10h07.58.597,Stroop_Task,,2025.2.0,60.42913144,2025-08-22 10h07.58.900622 +0530
RED,blue,C,,,,,,,0.310871,None,1,2,6,3,13.5369081,,,,,,,,,,13.5264362,13.5369081,14.0372589,14.0372589,14.0372589,14.5372255,15.2744139,b,1,1.2259317,None,,,,Vishva,1,2025-08-22_10h07.58.597,Stroop_Task,,2025.2.0,60.42913144,2025-08-22 10h07.58.900622 +0530
BLUE,blue,C,,,,,,,0.0279144,None,1,3,7,1,15.2923198,,,,,,,,,,15.2845164,15.2923198,15.7884114,15.7884114,15.8037689,16.3035416,16.5401308,r,0,0.7328075,None,,,,Vishva,1,2025-08-22_10h07.58.597,Stroop_Task,,2025.2.0,60.42913144,2025-08-22 10h07.58.900622 +0530
RED,red,C,,,,,,,0.6205158,None,2,0,8,0,16.5550484,,,,,,,,,,16.5489786,16.5550484,17.0543204,17.0543204,17.0543204,,17.3415735,b,0,0.280136,None,,,,Vishva,1,2025-08-22_10h07.58.597,Stroop_Task,,2025.2.0,60.42913144,2025-08-22 10h07.58.900622 +0530
RED,blue,C,,,,,,,0.8750846,None,2,1,9,3,17.3550533,,,,,,,,,,17.3436095,17.3550533,17.8533944,17.8533944,17.8695388,,18.2902215,b,1,0.4220888,None,,,,Vishva,1,2025-08-22_10h07.58.597,Stroop_Task,,2025.2.0,60.42913144,2025-08-22 10h07.58.900622 +0530
