TOP_STRING,BOTTOM_STRING,corr_resp,WORD_STATUS
DOCTOR,NURSE,y,Word-Word
BREAD,BUTTER,y,Word-Word
LION,TIGER,y,Word-Word
BLACK,WHITE,y,Word-Word
HAND,FOOT,y,Word-Word
WINDOW,DOOR,y,Word-Word
COFFEE,TEA,y,Word-Word
CAT,DOG,y,Word-Word
CHAIR,TABLE,y,Word-Word
OCEAN,BEACH,y,Word-Word
SUN,MOON,y,Word-Word
KNIFE,FORK,y,Word-Word
SICK,ILL,y,Word-Word
TREE,BRANCH,y,Word-Word
WATER,WET,y,Word-Word
CITY,TOWN,y,Word-Word
FIRE,SMOKE,y,Word-Word
CAR,DRIVE,y,Word-Word
SHOE,SOCK,y,Word-Word
BOOK,PAGE,y,Word-Word
BREAD,NURSE,y,Word-Word
LION,BUTTER,y,Word-Word
BLACK,TIGER,y,Word-Word
HAND,WHITE,y,Word-Word
DOCTOR,FOOT,y,Word-Word
COFFEE,DOOR,y,Word-Word
CAT,TEA,y,Word-Word
CHAIR,DOG,y,Word-Word
OCEAN,TABLE,y,Word-Word
SUN,BEACH,y,Word-Word
KNIFE,MOON,y,Word-Word
SICK,FORK,y,Word-Word
TREE,ILL,y,Word-Word
WATER,BRANCH,y,Word-Word
CITY,WET,y,Word-Word
FIRE,TOWN,y,Word-Word
CAR,SMOKE,y,Word-Word
SHOE,DRIVE,y,Word-Word
BOOK,SOCK,y,Word-Word
WINDOW,PAGE,y,Word-Word
DOCTOR,GLARF,n,Word-Nonword
BREAD,SLEMP,n,Word-Nonword
LION,PLART,n,Word-Nonword
BLACK,BROTH,n,Word-Nonword
HAND,CLUNT,n,Word-Nonword
WINDOW,DUMET,n,Word-Nonword
COFFEE,PHOOM,n,Word-Nonword
CAT,YELP,n,Word-Nonword
CHAIR,VAND,n,Word-Nonword
OCEAN,ZANT,n,Word-Nonword
SUN,GLARF,n,Word-Nonword
KNIFE,SLEMP,n,Word-Nonword
SICK,PLART,n,Word-Nonword
TREE,BROTH,n,Word-Nonword
WATER,CLUNT,n,Word-Nonword
CITY,DUMET,n,Word-Nonword
FIRE,PHOOM,n,Word-Nonword
CAR,YELP,n,Word-Nonword
SHOE,VAND,n,Word-Nonword
BOOK,ZANT,n,Word-Nonword
GLARF,NURSE,n,Nonword-Word
SLEMP,BUTTER,n,Nonword-Word
PLART,TIGER,n,Nonword-Word
BROTH,WHITE,n,Nonword-Word
CLUNT,FOOT,n,Nonword-Word
DUMET,DOOR,n,Nonword-Word
PHOOM,TEA,n,Nonword-Word
YELP,DOG,n,Nonword-Word
VAND,TABLE,n,Nonword-Word
ZANT,BEACH,n,Nonword-Word
GLARF,MOON,n,Nonword-Word
SLEMP,FORK,n,Nonword-Word
PLART,ILL,n,Nonword-Word
BROTH,BRANCH,n,Nonword-Word
CLUNT,WET,n,Nonword-Word
DUMET,TOWN,n,Nonword-Word
PHOOM,SMOKE,n,Nonword-Word
YELP,DRIVE,n,Nonword-Word
VAND,SOCK,n,Nonword-Word
ZANT,PAGE,n,Nonword-Word
DUMET,GLARF,n,Nonword-Nonword
PHOOM,SLEMP,n,Nonword-Nonword
VAND,PLART,n,Nonword-Nonword
YELP,BROTH,n,Nonword-Nonword
ZANT,CLUNT,n,Nonword-Nonword
GLARF,DUMET,n,Nonword-Nonword
SLEMP,PHOOM,n,Nonword-Nonword
PLART,YELP,n,Nonword-Nonword
BROTH,VAND,n,Nonword-Nonword
CLUNT,ZANT,n,Nonword-Nonword
DUMET,SLEMP,n,Nonword-Nonword
PHOOM,GLARF,n,Nonword-Nonword
VAND,BROTH,n,Nonword-Nonword
YELP,CLUNT,n,Nonword-Nonword
ZANT,PLART,n,Nonword-Nonword
GLARF,PHOOM,n,Nonword-Nonword
SLEMP,DUMET,n,Nonword-Nonword
PLART,ZANT,n,Nonword-Nonword
BROTH,YELP,n,Nonword-Nonword
CLUNT,VAND,n,Nonword-Nonword
