word,colour,coungrency,,,,,,,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Intro.started,text.started,key_resp_2.started,text.stopped,Intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,Fixation.started,cc.started,key_resp.started,Fixation.stopped,cc.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,thankyou.started,text_2.started,thankyou.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,,0.0050658,0.0305344,0.0305344,1.0337397,5.0466711,space,4.9913881,None,,,,,,,,,,,,,,,mamta,1,2025-08-22_10h16.50.681,Stroop_Task,,2025.2.0,60.44776074,2025-08-22 10h16.50.819951 +0530
RED,red,C,,,,,,,1.3217268,None,0,0,0,0,5.1210146,,,,,,,,,,5.0953587,5.1210146,5.5497856,5.5497856,5.6331236,6.549671,6.8864076,r,1,1.3217268,None,,,,mamta,1,2025-08-22_10h16.50.681,Stroop_Task,,2025.2.0,60.44776074,2025-08-22 10h16.50.819951 +0530
BLUE,red,C,,,,,,,0.5530252,None,0,1,1,2,6.9114847,,,,,,,,,,6.9046201,6.9114847,7.4020535,7.4020535,7.4177641,,7.8366567,r,1,0.4247088,None,,,,mamta,1,2025-08-22_10h16.50.681,Stroop_Task,,2025.2.0,60.44776074,2025-08-22 10h16.50.819951 +0530
BLUE,blue,C,,,,,,,0.5006983,None,0,2,2,1,7.8507586,,,,,,,,,,7.8388426,7.8507586,8.3499386,8.3499386,8.3662589,,8.9208625,b,1,0.5530252,None,,,,mamta,1,2025-08-22_10h16.50.681,Stroop_Task,,2025.2.0,60.44776074,2025-08-22 10h16.50.819951 +0530
RED,blue,C,,,,,,,0.7460445,None,0,3,3,3,8.9356109,,,,,,,,,,8.9284749,8.9356109,9.4333715,9.4333715,9.4504468,,10.102934,b,1,0.6539405,None,,,,mamta,1,2025-08-22_10h16.50.681,Stroop_Task,,2025.2.0,60.44776074,2025-08-22 10h16.50.819951 +0530
RED,blue,C,,,,,,,0.4348771,None,1,0,4,3,10.1171099,,,,,,,,,,10.1052217,10.1171099,10.6165874,10.6165874,10.6165874,,11.0861553,b,1,0.4622611,None,,,,mamta,1,2025-08-22_10h16.50.681,Stroop_Task,,2025.2.0,60.44776074,2025-08-22 10h16.50.819951 +0530
RED,red,C,,,,,,,0.4263563,None,1,1,5,0,11.0997868,,,,,,,,,,11.087871,11.0997868,11.6010402,11.6010402,11.6010402,,12.1202217,r,1,0.5006983,None,,,,mamta,1,2025-08-22_10h16.50.681,Stroop_Task,,2025.2.0,60.44776074,2025-08-22 10h16.50.819951 +0530
BLUE,blue,C,,,,,,,0.4698433,None,1,2,6,1,12.1349304,,,,,,,,,,12.1282596,12.1349304,12.6330757,12.6330757,12.6511379,,13.3863878,r,0,0.7460445,None,,,,mamta,1,2025-08-22_10h16.50.681,Stroop_Task,,2025.2.0,60.44776074,2025-08-22 10h16.50.819951 +0530
BLUE,red,C,,,,,,,0.4797436,None,1,3,7,2,13.4006626,,,,,,,,,,13.3881974,13.4006626,13.9007025,13.9007025,13.9007025,,14.2363526,r,1,0.3271823,None,,,,mamta,1,2025-08-22_10h16.50.681,Stroop_Task,,2025.2.0,60.44776074,2025-08-22 10h16.50.819951 +0530
BLUE,red,C,,,,,,,0.6007293,None,2,0,8,2,14.251159,,,,,,,,,,14.2380454,14.251159,14.7500566,14.7500566,14.7674666,,15.1047574,r,1,0.3479993,None,,,,mamta,1,2025-08-22_10h16.50.681,Stroop_Task,,2025.2.0,60.44776074,2025-08-22 10h16.50.819951 +0530
BLUE,blue,C,,,,,,,0.4940252,None,2,1,9,1,15.1172085,,,,,,,,,,15.1064846,15.1172085,15.6168661,15.6168661,15.6168661,,16.0702754,b,1,0.4348771,None,,,,mamta,1,2025-08-22_10h16.50.681,Stroop_Task,,2025.2.0,60.44776074,2025-08-22 10h16.50.819951 +0530
RED,blue,C,,,,,,,0.4884072,None,2,2,10,3,16.084966,,,,,,,,,,16.0780748,16.084966,16.5831545,16.5831545,16.6009144,,17.38669,b,1,0.7964365,None,,,,mamta,1,2025-08-22_10h16.50.681,Stroop_Task,,2025.2.0,60.44776074,2025-08-22 10h16.50.819951 +0530
RED,red,C,,,,,,,0.526844,None,2,3,11,0,17.4014829,,,,,,,,,,17.3884481,17.4014829,17.9003149,17.9003149,17.9165793,,18.3365018,r,1,0.4263563,None,,,,mamta,1,2025-08-22_10h16.50.681,Stroop_Task,,2025.2.0,60.44776074,2025-08-22 10h16.50.819951 +0530
BLUE,red,C,,,,,,,0.5855049,None,3,0,12,2,18.3523662,,,,,,,,,,18.3447964,18.3523662,18.8511725,18.8511725,18.8666111,,19.2546737,r,1,0.3990885,None,,,,mamta,1,2025-08-22_10h16.50.681,Stroop_Task,,2025.2.0,60.44776074,2025-08-22 10h16.50.819951 +0530
BLUE,blue,C,,,,,,,0.376605,None,3,1,13,1,19.2688899,,,,,,,,,,19.2566446,19.2688899,19.7677773,19.7677773,19.7842565,,20.2541915,b,1,0.4698433,None,,,,mamta,1,2025-08-22_10h16.50.681,Stroop_Task,,2025.2.0,60.44776074,2025-08-22 10h16.50.819951 +0530
RED,red,C,,,,,,,0.620317,None,3,2,14,0,20.2709384,,,,,,,,,,20.2631386,20.2709384,20.7668721,20.7668721,20.7836815,,21.2535303,b,0,0.4797436,None,,,,mamta,1,2025-08-22_10h16.50.681,Stroop_Task,,2025.2.0,60.44776074,2025-08-22 10h16.50.819951 +0530
