TOP_STRING,BOTTOM_STRING,WORD_STATUS,key_resp.corr,key_resp.rt,Associations,,,,,,
BOOK,PAGE,Word-Word,1,2.6613562,R,,,,,,
CHAIR,TABLE,Word-Word,1,0.8652106,R,,,,,,
OCEAN,BEACH,Word-Word,1,0.7808199,R,,,,,,
BLACK,TIGER,Word-Word,1,0.9236933,R,,,,,,
LION,TIGER,Word-Word,1,0.6244212,R,,,,,,
TREE,BRANCH,Word-Word,1,0.9022529,R,,,,,,
CITY,TOWN,Word-Word,1,1.0056052,R,,,,,,
SUN,MOON,Word-Word,1,0.655523,R,,,,,,
COFFEE,TEA,Word-Word,1,0.5287616,R,,,,,,
BREAD,BUTTER,Word-Word,1,0.5885148,R,,,,,,
DOCTOR,NURSE,Word-Word,1,0.9028352,R,,,,,,
WINDOW,DOOR,Word-Word,1,0.8438382,R,,,,,,
CAT,DOG,Word-Word,1,0.6662636,R,,Mean of related words,0.980226764,,SE related,0.094161008
HAND,FOOT,Word-Word,1,1.0456443,R,,Mean of Non-related words,1.059422361,,SE non-related,0.071500727
FIRE,SMOKE,Word-Word,1,0.8482358,R,,,,,,
BLACK,WHITE,Word-Word,1,0.7240117,R,,,,,,
SUN,BEACH,Word-Word,1,1.0437622,R,,mean W-N serial,1.288118014,,,
WATER,WET,Word-Word,1,1.14964,R,,Mean N-W serial,0.853922465,,,
KNIFE,FORK,Word-Word,1,1.0734634,R,,Mean N-N Serial,0.740312772,,,
SICK,ILL,Word-Word,1,1.0618797,R,,,,,,
CAR,DRIVE,Word-Word,1,1.1022258,R,,,,,,
SHOE,SOCK,Word-Word,1,1.5670302,R,,,,,,
KNIFE,MOON,Word-Word,1,1.6226846,N,,,,,,
CHAIR,DOG,Word-Word,1,0.9042762,N,,,,,,
FIRE,TOWN,Word-Word,1,1.5821556,N,,,,,,
CAT,TEA,Word-Word,1,0.7460853,N,,,,,,
SICK,FORK,Word-Word,1,1.4911965,N,,,,,,
WINDOW,PAGE,Word-Word,1,0.7873197,N,,,,,,
