TOP_STRING,BOTTOM_STRING,WORD_STATUS,key_resp.corr,key_resp.rt,Association,,,,
DOCTOR,NURSE,Word-Word,1,1.7072488,R,,,,
CAR,DRIVE,Word-Word,1,1.4596907,R,,,,
HAND,FOOT,Word-Word,1,0.9795798,R,,,,
CAR,SMOKE,Word-Word,1,0.8506231,R,,,,
SUN,MOON,Word-Word,1,0.636679,R,,,,
CITY,TOWN,Word-Word,1,0.5942918,R,,,,
SHOE,SOCK,Word-Word,1,1.2177115,R,,,,
SICK,ILL,Word-Word,1,0.7571225,R,,,,
KNIFE,FORK,Word-Word,1,0.8402139,R,,,,
BREAD,BUTTER,Word-Word,1,0.91118,R,,,,
CAT,DOG,Word-Word,1,1.4396332,R,,,,
OCEAN,BEACH,Word-Word,1,0.5848106,R,,,,
CHAIR,TABLE,Word-Word,1,0.580908,R,,,,
LION,TIGER,Word-Word,1,0.8613585,R,,,Mean related,0.952896977
BLACK,WHITE,Word-Word,1,0.9844124,R,,,Mean Non-Related,0.940521406
WINDOW,DOOR,Word-Word,1,1.6006146,R,,,,
TREE,BRANCH,Word-Word,1,1.0396552,R,,,Mean W-N ,0.922406189
BOOK,PAGE,Word-Word,1,0.9920025,R,,,Mean N-W,0.89826981
FIRE,SMOKE,Word-Word,1,0.6520025,R,,,Mean N-N,0.709003489
COFFEE,TEA,Word-Word,1,0.5769443,R,,,,
SUN,BEACH,Word-Word,1,0.7428651,R,,,,
WATER,WET,Word-Word,1,0.9541855,R,,,,
BLACK,TIGER,Word-Word,1,1.1189499,N,,,,
WINDOW,PAGE,Word-Word,1,0.7904206,N,,,,
CITY,WET,Word-Word,1,1.0092643,N,,,,
OCEAN,TABLE,Word-Word,1,0.7671145,N,,,,
COFFEE,DOOR,Word-Word,1,0.6789791,N,,,,
SHOE,DRIVE,Word-Word,1,0.8686161,N,,,,
WATER,BRANCH,Word-Word,1,1.0246975,N,,,,
BREAD,NURSE,Word-Word,1,1.0563221,N,,,,
LION,BUTTER,Word-Word,1,0.7487322,N,,,,
FIRE,TOWN,Word-Word,1,1.113592,N,,,,
HAND,WHITE,Word-Word,1,0.8323938,N,,,,
CAT,TEA,Word-Word,1,1.4962365,N,,,,
SICK,FORK,Word-Word,1,0.9943679,N,,,,
TREE,ILL,Word-Word,1,0.6151214,N,,,,
BOOK,SOCK,Word-Word,1,1.1377488,N,,,,
CHAIR,DOG,Word-Word,1,1.323557,N,,,,
DOCTOR,FOOT,Word-Word,1,0.639866,N,,,,
KNIFE,MOON,Word-Word,1,0.7134056,N,,,,
