TOP_STRING,BOTTOM_STRING,WORD_STATUS,key_resp.corr,key_resp.rt,Association,,,
CAR,DRIVE,Word-Word,1,0.8999471,R,,,
SICK,ILL,Word-Word,1,1.0081607,R,,,
OCEAN,BEACH,Word-Word,1,0.8819379,R,,,
LION,TIGER,Word-Word,1,1.0859725,R,,,
CAT,DOG,Word-Word,1,0.6896549,R,,,
FIRE,SMOKE,Word-Word,1,0.8545052,R,,,
CAR,SMOKE,Word-Word,1,1.2502387,R,,,
DOCTOR,NURSE,Word-Word,1,0.8248655,R,,,
CITY,TOWN,Word-Word,1,1.0533152,R,,,
CHAIR,TABLE,Word-Word,1,0.8925439,R,,,
BOOK,PAGE,Word-Word,1,0.8552693,R,,Mean related,0.954084635
SHOE,SOCK,Word-Word,1,1.5022059,R,,Mean Non-Related,0.995668059
HAND,FOOT,Word-Word,1,0.863437,R,,,
KNIFE,FORK,Word-Word,1,1.1907142,R,,Mean W-N,1.029951942
BREAD,BUTTER,Word-Word,1,0.6993845,R,,Mean N-W,0.782417505
WATER,WET,Word-Word,1,0.9769038,R,,Mean N-N,0.735020855
TREE,BRANCH,Word-Word,1,0.7812556,R,,,
SUN,BEACH,Word-Word,1,0.6580866,R,,,
COFFEE,TEA,Word-Word,1,0.8755972,R,,,
WINDOW,DOOR,Word-Word,1,1.2529149,R,,,
SUN,MOON,Word-Word,1,0.834077,R,,,
BLACK,WHITE,Word-Word,1,0.9832792,R,,,
CITY,WET,Word-Word,1,1.0296798,R,,,
BLACK,TIGER,Word-Word,1,0.9463382,N,,,
BOOK,SOCK,Word-Word,1,0.8771388,N,,,
SHOE,DRIVE,Word-Word,1,0.882017,N,,,
KNIFE,MOON,Word-Word,1,0.7931654,N,,,
TREE,ILL,Word-Word,1,0.5790424,N,,,
OCEAN,TABLE,Word-Word,1,0.7757096,N,,,
CHAIR,DOG,Word-Word,1,1.813966,N,,,
HAND,WHITE,Word-Word,1,1.1054513,N,,,
WATER,BRANCH,Word-Word,1,1.149255,N,,,
COFFEE,DOOR,Word-Word,1,0.76187,N,,,
FIRE,TOWN,Word-Word,1,1.4650629,N,,,
BREAD,NURSE,Word-Word,1,1.1539351,N,,,
WINDOW,PAGE,Word-Word,1,0.7005852,N,,,
DOCTOR,FOOT,Word-Word,1,0.5909575,N,,,
SICK,FORK,Word-Word,1,0.6831912,N,,,
CAT,TEA,Word-Word,1,1.4704967,N,,,
LION,BUTTER,Word-Word,1,1.1781747,N,,,
DOCTOR,GLARF,Word-Nonword,1,1.6949452,,,,
CITY,DUMET,Word-Nonword,1,0.7817765,,,,
CAT,YELP,Word-Nonword,1,0.9110524,,,,
LION,PLART,Word-Nonword,1,0.9346517,,,,
BOOK,ZANT,Word-Nonword,1,0.9369885,,,,
SHOE,VAND,Word-Nonword,1,0.8789732,,,,
BREAD,SLEMP,Word-Nonword,1,0.8675556,,,,
CHAIR,VAND,Word-Nonword,1,1.0845256,,,,
CAR,YELP,Word-Nonword,1,0.9199261,,,,
WINDOW,DUMET,Word-Nonword,1,1.0509706,,,,
KNIFE,SLEMP,Word-Nonword,1,0.8667721,,,,
WATER,CLUNT,Word-Nonword,1,1.1377531,,,,
TREE,BROTH,Word-Nonword,1,1.3524946,,,,
OCEAN,ZANT,Word-Nonword,1,0.911915,,,,
FIRE,PHOOM,Word-Nonword,1,0.8867185,,,,
BLACK,BROTH,Word-Nonword,1,1.0100134,,,,
HAND,CLUNT,Word-Nonword,1,0.8834816,,,,
SICK,PLART,Word-Nonword,1,1.1291847,,,,
SUN,GLARF,Word-Nonword,1,1.3293885,,,,
BROTH,BRANCH,Nonword-Word,1,1.6439914,,,,
DUMET,DOOR,Nonword-Word,1,0.6188159,,,,
