TOP_STRING,BOTTOM_STRING,WORD_STATUS,key_resp.corr,key_resp.rt,association,,,,,,,,
DOCTOR,NURSE,Word-Word,1,1.41249,R,,,,,,,,
SHOE,SOCK,Word-Word,1,1.0421818,R,,,,,,,,
OCEAN,BEACH,Word-Word,1,0.7523069,R,,,,,,,,
HAND,FOOT,Word-Word,1,1.2266999,R,,,,,,,,
CAT,DOG,Word-Word,1,0.9340993,R,,,,,Participant,mean RT related ,Mean RT non related,
LION,TIGER,Word-Word,1,0.6651296,R,,,,,1,0.980226764,0.95812313,
CAR,SMOKE,Word-Word,1,0.7893332,R,,,,,2,0.952896977,0.952896977,
WATER,WET,Word-Word,1,1.4263396,R,,,,,3,0.954084635,0.954084635,
FIRE,SMOKE,Word-Word,1,0.8906809,R,,,,,4,1.071105423,1.071105423,
WINDOW,DOOR,Word-Word,1,0.7772755,R,,,,,5,0.97665601,0.951101478,
COFFEE,TEA,Word-Word,1,0.6306464,R,,,,,6,0.946518227,0.946518227,
BREAD,BUTTER,Word-Word,1,0.7571418,R,,,,,,,,
KNIFE,FORK,Word-Word,1,1.2822491,R,,Mean Related,0.946518227,,,,,
CAR,DRIVE,Word-Word,1,0.6321808,R,,Mean Non- Related,0.934619772,,Participant,Mean RTs W-N,Mean RTs N-W,Mean RTs N-N
CITY,TOWN,Word-Word,1,0.6804061,R,,,,,1,1.288118014,0.853922465,0.740312772
BLACK,WHITE,Word-Word,1,0.9033046,R,,,,,2,0.922406189,0.89826981,0.709003489
TREE,BRANCH,Word-Word,1,0.7260274,R,,Mean W-N,0.919162795,,3,1.029951942,0.782417505,0.735020855
SICK,ILL,Word-Word,1,1.655667,R,,MeanN-W,0.97552642,,4,1.014007906,0.859924705,0.761746145
SUN,MOON,Word-Word,1,0.6603017,R,,Mean N-N,0.979680175,,5,0.95288323,0.8738322,0.766225365
CHAIR,TABLE,Word-Word,1,0.694945,R,,,,,6,0.919162795,0.97552642,0.979680175
SUN,BEACH,Word-Word,1,0.7292677,R,,,,,,,,
BOOK,PAGE,Word-Word,1,1.5547267,R,,,,,,,,
HAND,WHITE,Word-Word,1,1.0713436,N,,,,,,,,
LION,BUTTER,Word-Word,1,0.7694929,N,,,,,,,,
SHOE,DRIVE,Word-Word,1,1.16996,N,,,,,,,,
WATER,BRANCH,Word-Word,1,0.8604928,N,,,,,,,,
CITY,WET,Word-Word,1,0.8151658,N,,,,,,,,
CAT,TEA,Word-Word,1,1.1908121,N,,,,,,,,
OCEAN,TABLE,Word-Word,1,0.8938744,N,,,,,,,,
DOCTOR,FOOT,Word-Word,1,0.668869,N,,,,,,,,
COFFEE,DOOR,Word-Word,1,0.834456,N,,,,,,,,
TREE,ILL,Word-Word,1,0.9301482,N,,,,,,,,
WINDOW,PAGE,Word-Word,1,2.2422497,N,,,,,,,,
BREAD,NURSE,Word-Word,1,0.7969436,N,,,,,,,,
BLACK,TIGER,Word-Word,1,1.0214471,N,,,,,,,,
FIRE,TOWN,Word-Word,1,0.7709476,N,,,,,,,,
KNIFE,MOON,Word-Word,1,0.7088534,N,,,,,,,,
CHAIR,DOG,Word-Word,1,0.6590945,N,,,,,,,,
BOOK,SOCK,Word-Word,1,0.6732035,N,,,,,,,,
SICK,FORK,Word-Word,1,0.7458017,N,,,,,,,,
HAND,CLUNT,Word-Nonword,1,1.0427434,,,,,,,,,
WINDOW,DUMET,Word-Nonword,1,0.9219855,,,,,,,,,
SUN,GLARF,Word-Nonword,1,0.6444901,,,,,,,,,
DOCTOR,GLARF,Word-Nonword,1,0.823772,,,,,,,,,
OCEAN,ZANT,Word-Nonword,1,0.7742279,,,,,,,,,
CAT,YELP,Word-Nonword,1,0.8334559,,,,,,,,,
FIRE,PHOOM,Word-Nonword,1,1.0759166,,,,,,,,,
SICK,PLART,Word-Nonword,1,0.6909208,,,,,,,,,
BREAD,SLEMP,Word-Nonword,1,0.8878218,,,,,,,,,
CAR,YELP,Word-Nonword,1,1.3495838,,,,,,,,,
CITY,DUMET,Word-Nonword,1,0.9200512,,,,,,,,,
BLACK,BROTH,Word-Nonword,1,1.0218456,,,,,,,,,
BOOK,ZANT,Word-Nonword,1,0.7068362,,,,,,,,,
