word,colour,coungrency,,,,,,,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Intro.started,text.started,key_resp_2.started,Intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,Fixation.started,cc.started,key_resp.started,Fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,cc.stopped,thankyou.started,text_2.started,thankyou.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,,0.0058294,0.0341982,0.0341982,0.579016,space,0.4028679,None,,,,,,,,,,,,,,,priyanshi,1,2025-08-22_10h14.50.109,Stroop_Task,,2025.2.0,60.41346979,2025-08-22 10h14.50.780836 +0530
RED,red,C,,,,,,,0.5056794,None,0,0,0,0,0.6344296,,,,,,,,,0.6222017,0.6344296,1.0857888,1.0857888,1.1356123,1.6069728,r,1,0.5056794,None,,,,,priyanshi,1,2025-08-22_10h14.50.109,Stroop_Task,,2025.2.0,60.41346979,2025-08-22 10h14.50.780836 +0530
RED,blue,C,,,,,,,0.4939593,None,0,1,1,3,1.6204959,,,,,,,,,1.6087137,1.6204959,2.1200641,2.1200641,2.1200641,2.5574312,b,1,0.4296975,None,,,,,priyanshi,1,2025-08-22_10h14.50.109,Stroop_Task,,2025.2.0,60.41346979,2025-08-22 10h14.50.780836 +0530
BLUE,blue,C,,,,,,,0.3816573,None,0,2,2,1,2.5828649,,,,,,,,,2.5758087,2.5828649,3.0704393,3.0704393,3.0863859,3.5733181,b,1,0.4939593,None,,,,,priyanshi,1,2025-08-22_10h14.50.109,Stroop_Task,,2025.2.0,60.41346979,2025-08-22 10h14.50.780836 +0530
BLUE,red,C,,,,,,,0.3932986,None,0,3,3,2,3.5872863,,,,,,,,,3.5750958,3.5872863,4.0864206,4.0864206,4.0864206,4.507909,r,1,0.4165907,None,,,,,priyanshi,1,2025-08-22_10h14.50.109,Stroop_Task,,2025.2.0,60.41346979,2025-08-22 10h14.50.780836 +0530
RED,red,C,,,,,,,0.4130376,None,1,0,4,0,4.523307,,,,,,,,,4.5155416,4.523307,5.0205118,5.0205118,5.0365386,5.406917,r,1,0.3816573,None,,,,,priyanshi,1,2025-08-22_10h14.50.109,Stroop_Task,,2025.2.0,60.41346979,2025-08-22 10h14.50.780836 +0530
RED,blue,C,,,,,,,0.5666598,None,1,1,5,3,5.4209973,,,,,,,,,5.4086304,5.4209973,5.9199064,5.9199064,5.9199064,6.5401148,r,0,0.6078329,None,,,,,priyanshi,1,2025-08-22_10h14.50.109,Stroop_Task,,2025.2.0,60.41346979,2025-08-22 10h14.50.780836 +0530
BLUE,red,C,,,,,,,0.4606186,None,1,2,6,2,6.5566665,,,,,,,,,6.5478846,6.5566665,7.0554625,7.0554625,7.0706904,7.5735356,r,1,0.5108305,None,,,,,priyanshi,1,2025-08-22_10h14.50.109,Stroop_Task,,2025.2.0,60.41346979,2025-08-22 10h14.50.780836 +0530
BLUE,blue,C,,,,,,,0.3455276,None,1,3,7,1,7.5872052,,,,,,,,,7.5753273,7.5872052,8.0872323,8.0872323,8.0872323,8.4919641,b,1,0.3932986,None,,,,,priyanshi,1,2025-08-22_10h14.50.109,Stroop_Task,,2025.2.0,60.41346979,2025-08-22 10h14.50.780836 +0530
BLUE,red,C,,,,,,,0.4747668,None,2,0,8,2,8.5047316,,,,,,,,,8.4936779,8.5047316,9.0037437,9.0037437,9.0037437,9.4235645,r,1,0.4127532,None,,,,,priyanshi,1,2025-08-22_10h14.50.109,Stroop_Task,,2025.2.0,60.41346979,2025-08-22 10h14.50.780836 +0530
RED,red,C,,,,,,,0.5342065,None,2,1,9,0,9.4411846,,,,,,,,,9.4323395,9.4411846,9.9383697,9.9383697,9.9531863,10.3569445,r,1,0.4130376,None,,,,,priyanshi,1,2025-08-22_10h14.50.109,Stroop_Task,,2025.2.0,60.41346979,2025-08-22 10h14.50.780836 +0530
BLUE,blue,C,,,,,,,0.399234,None,2,2,10,1,10.3734498,,,,,,,,,10.3657394,10.3734498,10.8704185,10.8704185,10.8866628,11.4406209,b,1,0.5666598,None,,,,,priyanshi,1,2025-08-22_10h14.50.109,Stroop_Task,,2025.2.0,60.41346979,2025-08-22 10h14.50.780836 +0530
RED,blue,C,,,,,,,0.9777558,None,2,3,11,3,11.456303,,,,,,,,,11.4487885,11.456303,11.9545597,11.9545597,11.9700654,12.4564539,b,1,0.4909716,None,,,,,priyanshi,1,2025-08-22_10h14.50.109,Stroop_Task,,2025.2.0,60.41346979,2025-08-22 10h14.50.780836 +0530
BLUE,red,C,,,,,,,0.4143983,None,3,0,12,2,12.4719376,,,,,,,,,12.4642904,12.4719376,12.9716366,12.9716366,12.9876672,13.4067206,r,1,0.4232261,None,,,,,priyanshi,1,2025-08-22_10h14.50.109,Stroop_Task,,2025.2.0,60.41346979,2025-08-22 10h14.50.780836 +0530
BLUE,blue,C,,,,,,,0.259066,None,3,1,13,1,13.4209928,,,,,,,,,13.4084967,13.4209928,13.9205727,13.9205727,13.9205727,14.3905554,b,1,0.4606186,None,,,,,priyanshi,1,2025-08-22_10h14.50.109,Stroop_Task,,2025.2.0,60.41346979,2025-08-22 10h14.50.780836 +0530
RED,red,C,,,,,,,0.5353139,None,3,2,14,0,14.4068565,,,,,,,,,14.3991033,14.4068565,14.9045988,14.9045988,14.9202334,15.2568343,r,1,0.3455276,None,,,,,priyanshi,1,2025-08-22_10h14.50.109,Stroop_Task,,2025.2.0,60.41346979,2025-08-22 10h14.50.780836 +0530
RED,blue,C,,,,,,,0.5444586,None,3,3,15,3,15.2709214,,,,,,,,,15.2586178,15.2709214,15.7716103,15.7716103,15.7716103,16.1900808,b,1,0.4095379,None,,,,,priyanshi,1,2025-08-22_10h14.50.109,Stroop_Task,,2025.2.0,60.41346979,2025-08-22 10h14.50.780836 +0530
BLUE,blue,C,,,,,,,0.9099846,None,4,0,16,1,16.2064043,,,,,,,,,16.1982318,16.2064043,16.7058747,16.7058747,16.7211558,17.1912623,b,1,0.4747668,None,,,,,priyanshi,1,2025-08-22_10h14.50.109,Stroop_Task,,2025.2.0,60.41346979,2025-08-22 10h14.50.780836 +0530
RED,blue,C,,,,,,,0.5711782,None,4,1,17,3,17.2107283,,,,,,,,,17.201275,17.2107283,17.7037139,17.7037139,17.7204889,18.0900642,b,1,0.3771536,None,,,,,priyanshi,1,2025-08-22_10h14.50.109,Stroop_Task,,2025.2.0,60.41346979,2025-08-22 10h14.50.780836 +0530
BLUE,red,C,,,,,,,0.6366887,None,4,2,18,2,18.1063227,,,,,,,,,18.0985885,18.1063227,18.6047653,18.6047653,18.6211197,19.1075217,r,1,0.484165,None,,,,,priyanshi,1,2025-08-22_10h14.50.109,Stroop_Task,,2025.2.0,60.41346979,2025-08-22 10h14.50.780836 +0530
RED,red,C,,,,,,,0.4531755,None,4,3,19,0,19.1219733,,,,,,,,,19.1153876,19.1219733,19.6212761,19.6212761,19.6381586,20.1587529,r,1,0.5342065,None,,,,,priyanshi,1,2025-08-22_10h14.50.109,Stroop_Task,,2025.2.0,60.41346979,2025-08-22 10h14.50.780836 +0530
BLUE,blue,C,,,,,,,0.0297085,None,5,0,20,1,20.176385,,,,,,,,,20.1678398,20.176385,20.6716473,20.6716473,20.6876466,21.0743761,b,1,0.399234,None,,,,,priyanshi,1,2025-08-22_10h14.50.109,Stroop_Task,,2025.2.0,60.41346979,2025-08-22 10h14.50.780836 +0530
BLUE,red,C,,,,,,,0.0204934,None,5,1,21,2,21.0879198,,,,,,,,,21.0760955,21.0879198,21.5872349,21.5872349,21.5872349,22.040774,b,0,0.4351719,None,,,,,priyanshi,1,2025-08-22_10h14.50.109,Stroop_Task,,2025.2.0,60.41346979,2025-08-22 10h14.50.780836 +0530
RED,blue,C,,,,,,,0.0652669,None,5,2,22,3,22.0557694,,,,,,,,,22.0494786,22.0557694,22.5550335,22.5550335,22.5701931,23.1090005,r,0,0.5462306,None,,,,,priyanshi,1,2025-08-22_10h14.50.109,Stroop_Task,,2025.2.0,60.41346979,2025-08-22 10h14.50.780836 +0530
RED,red,C,,,,,,,0.0961075,None,5,3,23,0,23.1211489,,,,,,,,,23.1108719,23.1211489,23.620273,23.620273,23.620273,24.6073828,r,1,0.9777558,None,24.6238923,,,,priyanshi,1,2025-08-22_10h14.50.109,Stroop_Task,,2025.2.0,60.41346979,2025-08-22 10h14.50.780836 +0530
BLUE,blue,C,,,,,,,0.0201661,None,6,0,24,1,24.6238923,,,,,,,,,24.6159465,24.6238923,25.1211417,25.1211417,25.1379989,25.5408133,b,1,0.4143983,None,,,,,priyanshi,1,2025-08-22_10h14.50.109,Stroop_Task,,2025.2.0,60.41346979,2025-08-22 10h14.50.780836 +0530
RED,blue,C,,,,,,,0.040863,None,6,1,25,3,25.5564398,,,,,,,,,25.5487584,25.5564398,26.0537112,26.0537112,26.0703547,26.4916216,b,1,0.4240491,None,,,,,priyanshi,1,2025-08-22_10h14.50.109,Stroop_Task,,2025.2.0,60.41346979,2025-08-22 10h14.50.780836 +0530
BLUE,red,C,,,,,,,0.1364601,None,6,2,26,2,26.51034,,,,,,,,,26.5019437,26.51034,27.0054885,27.0054885,27.0218514,27.5402106,r,1,0.5214873,None,,,,,priyanshi,1,2025-08-22_10h14.50.109,Stroop_Task,,2025.2.0,60.41346979,2025-08-22 10h14.50.780836 +0530
RED,red,C,,,,,,,0.0297057,None,6,3,27,0,27.5567566,,,,,,,,,27.549217,27.5567566,28.055088,28.055088,28.0711803,28.3238273,b,0,0.259066,None,,,,,priyanshi,1,2025-08-22_10h14.50.109,Stroop_Task,,2025.2.0,60.41346979,2025-08-22 10h14.50.780836 +0530
RED,red,C,,,,,,,0.0139574,None,7,0,28,0,28.3381653,,,,,,,,,28.325583,28.3381653,28.8377019,28.8377019,28.8377019,29.3914056,r,1,0.5353139,None,,,,,priyanshi,1,2025-08-22_10h14.50.109,Stroop_Task,,2025.2.0,60.41346979,2025-08-22 10h14.50.780836 +0530
BLUE,blue,C,,,,,,,0.0151475,None,7,1,29,1,29.4058654,,,,,,,,,29.3993015,29.4058654,29.9049079,29.9049079,29.9227331,30.459621,b,1,0.5444586,None,,,,,priyanshi,1,2025-08-22_10h14.50.109,Stroop_Task,,2025.2.0,60.41346979,2025-08-22 10h14.50.780836 +0530
RED,blue,C,,,,,,,0.0305754,None,7,2,30,3,30.4751186,,,,,,,,,30.4675576,30.4751186,30.9706003,30.9706003,30.9880147,31.3584976,b,1,0.3767839,None,,,,,priyanshi,1,2025-08-22_10h14.50.109,Stroop_Task,,2025.2.0,60.41346979,2025-08-22 10h14.50.780836 +0530
