delay,condition,textbox.text,p_no,,,,,,,
0.1,exp,300,1,,,,,,,
0.1,exp,300,1,,,,,,,
0.1,exp,200,1,,,,,,,
0.1,exp,200,1,,exp100,exp400,exp700,unexp100,unexp400,unexp700
0.1,exp,300,1,,398.7179487,456.9620253,599.8734177,442.2692308,484.6153846,592.3076923
0.1,exp,200,1,,,,,,,
0.1,exp,200,1,,,,,,,
0.1,exp,100,1,,Condition,100 ms delay,400 ms delay,700 ms delay,,
0.1,exp,300,1,,Expected,398.72,456.96,599.87,,
0.1,exp,500,1,,Unexpected,442.27,484.62,592.31,,
0.1,exp,400,1,,,,,,,
0.1,exp,400,1,,,,,,,
0.1,exp,200,1,,,,,,,
0.1,exp,200,1,,,,,,,
0.1,exp,400,1,,,,,,,
0.1,exp,500,1,,,,,,,
0.1,exp,400,1,,,,,,,
0.1,exp,400,1,,,,,,,
0.1,exp,100,1,,,,,,,
0.1,exp,100,1,,,,,,,
0.1,exp,300,1,,,,,,,
0.1,exp,100,1,,,,,,,
0.1,exp,100,1,,,,,,,
0.1,exp,100,1,,,,,,,
0.1,exp,100,1,,,,,,,
0.1,exp,100,1,,,,,,,
0.1,exp,300,1,,,,,,,
0.1,exp,600,1,,,,,,,
0.1,exp,100,1,,,,,,,
0.1,exp,100,1,,,,,,,
0.1,exp,100,1,,,,,,,
0.1,exp,100,1,,,,,,,
0.1,exp,200,1,,,,,,,
0.1,exp,500,1,,,,,,,
0.1,exp,300,1,,,,,,,
0.1,exp,200,1,,,,,,,
0.1,exp,200,1,,,,,,,
0.1,exp,200,1,,,,,,,
0.1,exp,400,1,,,,,,,
0.1,exp,200,1,,,,,,,
0.1,exp,700,1,,,,,,,
0.1,exp,700,1,,,,,,,
0.1,exp,700,1,,,,,,,
0.1,exp,500,1,,,,,,,
0.1,exp,300,1,,,,,,,
0.1,exp,700,1,,,,,,,
0.1,exp,800,1,,,,,,,
0.1,exp,700,1,,,,,,,
0.1,exp,700,1,,,,,,,
0.1,exp,600,1,,,,,,,
0.1,exp,800,1,,,,,,,
0.1,exp,300,1,,,,,,,
0.1,exp,400,1,,,,,,,
0.1,exp,800,1,,,,,,,
0.1,exp,700,1,,,,,,,
0.1,exp,600,1,,,,,,,
0.1,exp,900,1,,,,,,,
0.1,exp,700,1,,,,,,,
0.1,exp,300,1,,,,,,,
0.1,exp,700,1,,,,,,,
0.1,exp,200,1,,,,,,,
0.1,exp,200,1,,,,,,,
0.1,exp,200,1,,,,,,,
0.1,exp,400,1,,,,,,,
0.1,exp,700,1,,,,,,,
0.1,exp,300,1,,,,,,,
0.1,exp,400,1,,,,,,,
0.1,exp,500,1,,,,,,,
0.1,exp,200,1,,,,,,,
0.1,exp,500,1,,,,,,,
0.1,exp,300,1,,,,,,,
0.1,exp,700,1,,,,,,,
0.1,exp,700,1,,,,,,,
0.1,exp,400,1,,,,,,,
0.1,exp,600,1,,,,,,,
0.1,exp,800,1,,,,,,,
0.1,exp,700,1,,,,,,,
0.1,exp,700,1,,,,,,,
0.1,unexp,100,1,,,,,,,
0.1,unexp,299,1,,,,,,,
0.1,unexp,300,1,,,,,,,
0.1,unexp,100,1,,,,,,,
0.1,unexp,300,1,,,,,,,
0.1,unexp,300,1,,,,,,,
0.1,unexp,400,1,,,,,,,
0.1,unexp,600,1,,,,,,,
0.1,unexp,200,1,,,,,,,
0.1,unexp,100,1,,,,,,,
0.1,unexp,300,1,,,,,,,
0.1,unexp,400,1,,,,,,,
0.1,unexp,500,1,,,,,,,
0.1,unexp,500,1,,,,,,,
0.1,unexp,800,1,,,,,,,
0.1,unexp,700,1,,,,,,,
0.1,unexp,600,1,,,,,,,
0.1,unexp,200,1,,,,,,,
0.1,unexp,900,1,,,,,,,
0.1,unexp,800,1,,,,,,,
0.1,unexp,600,1,,,,,,,
0.1,unexp,600,1,,,,,,,
0.1,unexp,700,1,,,,,,,
0.1,unexp,300,1,,,,,,,
0.1,unexp,400,1,,,,,,,
0.1,unexp,500,1,,,,,,,
0.4,exp,200,1,,,,,,,
0.4,exp,100,1,,,,,,,
0.4,exp,300,1,,,,,,,
0.4,exp,200,1,,,,,,,
0.4,exp,100,1,,,,,,,
0.4,exp,400,1,,,,,,,
0.4,exp,300,1,,,,,,,
0.4,exp,400,1,,,,,,,
0.4,exp,500,1,,,,,,,
0.4,exp,300,1,,,,,,,
0.4,exp,300,1,,,,,,,
0.4,exp,200,1,,,,,,,
0.4,exp,500,1,,,,,,,
0.4,exp,300,1,,,,,,,
0.4,exp,200,1,,,,,,,
0.4,exp,600,1,,,,,,,
0.4,exp,300,1,,,,,,,
0.4,exp,300,1,,,,,,,
0.4,exp,100,1,,,,,,,
0.4,exp,100,1,,,,,,,
0.4,exp,400,1,,,,,,,
0.4,exp,300,1,,,,,,,
0.4,exp,700,1,,,,,,,
0.4,exp,300,1,,,,,,,
0.4,exp,300,1,,,,,,,
0.4,exp,400,1,,,,,,,
0.4,exp,800,1,,,,,,,
0.4,exp,200,1,,,,,,,
0.4,exp,200,1,,,,,,,
0.4,exp,500,1,,,,,,,
0.4,exp,400,1,,,,,,,
0.4,exp,700,1,,,,,,,
0.4,exp,400,1,,,,,,,
0.4,exp,400,1,,,,,,,
0.4,exp,200,1,,,,,,,
0.4,exp,300,1,,,,,,,
0.4,exp,400,1,,,,,,,
0.4,exp,300,1,,,,,,,
0.4,exp,500,1,,,,,,,
0.4,exp,300,1,,,,,,,
0.4,exp,100,1,,,,,,,
0.4,exp,300,1,,,,,,,
0.4,exp,600,1,,,,,,,
0.4,exp,400,1,,,,,,,
0.4,exp,500,1,,,,,,,
0.4,exp,600,1,,,,,,,
0.4,exp,700,1,,,,,,,
0.4,exp,600,1,,,,,,,
0.4,exp,900,1,,,,,,,
0.4,exp,800,1,,,,,,,
0.4,exp,600,1,,,,,,,
0.4,exp,400,1,,,,,,,
0.4,exp,500,1,,,,,,,
0.4,exp,700,1,,,,,,,
0.4,exp,700,1,,,,,,,
0.4,exp,700,1,,,,,,,
0.4,exp,800,1,,,,,,,
0.4,exp,800,1,,,,,,,
0.4,exp,900,1,,,,,,,
0.4,exp,600,1,,,,,,,
0.4,exp,500,1,,,,,,,
0.4,exp,300,1,,,,,,,
0.4,exp,200,1,,,,,,,
0.4,exp,600,1,,,,,,,
0.4,exp,500,1,,,,,,,
0.4,exp,400,1,,,,,,,
0.4,exp,600,1,,,,,,,
